"","response","target","x_y"
"1","k","e","1_1"
"2","f","a","1_1"
"3","u","f","1_1"
"4","f","ü","1_1"
"6","o","f","1_1"
"7","e","h","1_1"
"10","h","e","1_1"
"11","h","ö","1_1"
"14","e","f","1_1"
"16","k","ä","1_1"
"12","ü","ä","5_8"
"31","ü","ö","5_8"
"5","ö","ü","5_8"
"71","ä","ü","5_8"
"13","ä","ö","6_7"
"21","e","o","6_7"
"32","o","e","6_7"
"61","ö","ä","6_7"
"15","p","b","7_7"
"33","a","o","7_7"
"51","b","p","7_7"
"18","o","a","7_7"
"17","b","d","8_4"
"22","d","b","8_4"
"19","i","l","9_3"
"62","l","i","9_3"
"110","ä","a","9_9"
"23","ü","u","9_9"
"52","a","ä","9_9"
"63","u","ü","9_9"
